PRODUCTO,GRASA,PROTEINA,PROTEINA LIBRE GRASA ,HUMEDAD,FECULA,CARBOHIDRATOS,CONTENIDO ENERGETICO,PRECIO POR 100G
AURRERA,2.9,11.9,12.2,71.9,8.3,10,114,12
BAFAR VIRGINIA,3.4,11.2,11.6,73.5,6.7,8,109,15
CAPISTRANO CLASICA,2.6,12.6,12.9,74.6,5.6,7,101,22
CAPISTRANO RECETA FAMILIAR,3.9,12.8,13.3,73.6,5.6,6,111,16
CHIMEX IBERO BCN,2.2,11.9,12.2,75.4,6.4,7,95,19
FUD AMERICANO,3.2,12,12.4,74.8,6.3,7,104,23
FUD VIRGINIA,2.1,12.5,12.7,75.9,4.9,6,93,19
GREAT VALUE,2.6,11.9,12.2,71.2,9.1,11,113,14
KIR,4.4,11.7,12.2,73.2,6.3,7,115,20
LALA NATURALES,2.6,11.9,12.2,74,6.1,8,104,23
PARMA SABORI,4,12.5,13,72.8,6.9,7,116,19
SAN ANTONIO,2.7,11.7,12,73.9,6.2,9,106,10
VITA DELI CAPISTRANO,2.9,12.9,13.3,74.1,6.1,7,107,20
SWAN PREMIUM,3.5,11.5,11.9,74.3,6.5,7,106,22
CAPISTRANO CALIFORNIA,3.4,12.3,12.8,75.7,4.3,5,100,18
FUD HORNEADO,2.7,11,11.3,73.4,7.9,9,105,16
NUTRI DELI,2.6,12,12.3,74.6,6.3,7,100,14
RIOJANO,3.3,12,12.4,76.1,5.8,6,100,
FUD PAVO Y CERDO,2.7,12.5,12.8,75.3,5.2,6,98,18
DYN,3.5,11.7,12.1,73.4,8.8,8,112,8
BAFAR AMERICANO,1.8,10,10.2,73.9,8.8,13,108,14
BAFAR CLÁSICO,6.5,9.3,9.9,73.3,8.8,8,127,14
BAFAR LUNCH,5.7,10,10.6,73.5,7,7,121,13
CHIMEX,2.7,10.6,10.9,75.5,7.1,8,99,14
EL MEXICANO,3.7,10,10.4,75.4,6,8,104,
BENJI,0.5,28.6,28.8,61.1,8.4,9,157,36
